;QB120A-CORRENTE-M1_avg;QB120A-CORRENTE-M2_avg
min_mad;0.0894007799999997;0.06301050000000064
max_mad;2.4494034600000036;1.695130709999997
min_iqr;0.12137500000000045;0.08332500000000209
max_iqr;3.42765;2.357325000000003
min_idr;0.22973000000000354;0.1409199999999977
max_idr;4.763650000000002;3.9247200000000007
min_ipr;0.2774150000000013;0.19129999999999825
max_ipr;5.392704999999999;5.4145949999999985
min_qcd;0.0025100700079464106;0.0018789797247207793
max_qcd;0.07222436132571769;0.05304610130904944
min_svbq;-0.5804821974165856;-0.815980629539947
max_svbq;0.739213738291234;0.8479646359520163
min_kvbo;-0.8962772682639444;-0.9974451332399278
max_kvbo;5.227560116963165;1.2410228971208292
min_decile1;19.99897;19.03533
max_decile1;30.225920000000002;26.00935
min_decile9;20.43528;20.57872
max_decile9;33.49983;27.18805
min_cvq;0.00502000903567162;0.0037579963125860105
max_cvq;0.14505482940311124;0.10885825557688014
min_dmad;0.07042350000000443;0.05693184000000426
max_dmad;0.5300295000000025;0.620171580000003
min_dsvbq;-5.762220760133892;-3.5894982695931033
max_dsvbq;4.373993747738645;5.276762665047673
min_dkvbo;-0.7562224264705988;-0.7865045562599335
max_dkvbo;0.6000339838492481;0.6465119945212663
